customer_id,customer_name,currency_id,currency_code,current,days_1-15,days_16-30,days_31-45,days_above-45,total,fcy_total,contact.CF.SALESMAN,contact.CF.ROUTE,contact.CF.ROUTE DAY
4035182000008129645,"S.V. TYRES , UTHUKOTTAI",4035182000000000099,INR,0.00,40527.00,0.00,0.00,0.00,40527.00,40527.00,NETHAJI,UTHUKOTTAI,MONDAY
4035182000000182774,"S.V.Auto Works  , Tpt",4035182000000000099,INR,0.00,5820.00,7877.00,1032.00,0.00,14729.00,14729.00,VINOD,TIRUPATI,TUESDAY
4035182000006169005,"S.V.R CYCLE SHOP, SKHT",4035182000000000099,INR,0.00,0.00,14104.00,0.00,0.00,14104.00,14104.00,NETHAJI,SRIKALAHASTHI,WEDNESDAY
4035182000006302005,"SA Automobiles , Varadayapalem",4035182000000000099,INR,0.00,25552.00,12900.00,26329.00,0.00,64781.00,64781.00,VINOD,VARADAYAPALEM,WEDNESDAY
4035182000000183106,"Sagar Motor Comp Pvt Ltd, Tpt - HONDA TW",4035182000000000099,INR,0.00,68497.00,5645.00,42935.48,0.00,117077.48,117077.48,VINOD,TIRUPATI,FRIDAY
4035182000000183194,"Sai Auto Garage,Tpt",4035182000000000099,INR,0.00,0.00,0.00,0.00,3859.00,3859.00,3859.00,SHAHEEN,TIRUPATI,WEDNESDAY
4035182000000183360,"Sai Enterprises,Chittoor",4035182000000000099,INR,0.00,0.00,0.00,0.00,9200.00,9200.00,9200.00,CHIRANJEEVI,CHITTOOR,TUESDAY
4035182000000183531,Sai Madhu Cycle Shop kommireddygaripalli,4035182000000000099,INR,0.00,0.00,0.00,0.00,16386.00,16386.00,16386.00,NETHAJI,PAKALA,TUESDAY
4035182000000108124,"Sai Ram Tyres, Tpt",4035182000000000099,INR,0.00,0.00,0.00,0.00,16800.00,16800.00,16800.00,SHAHEEN,TIRUPATI,MONDAY
4035182000000183614,"Sai Sudha Enterprises,Puthalapattu",4035182000000000099,INR,0.00,11344.00,0.00,0.00,1943.64,13287.64,13287.64,NETHAJI,PUTHALAPATTU,TUESDAY
4035182000000183697,Sai Surya Motors CTR,4035182000000000099,INR,0.00,34983.00,28129.00,2.00,3453.00,66567.00,66567.00,CHIRANJEEVI,CHITTOOR,TUESDAY
4035182000000183785,"Sai Welding  Electrical E/W, Chinthaparthi",4035182000000000099,INR,0.00,3867.00,18887.00,1112.00,0.00,23866.00,23866.00,NETHAJI,CHINTHAPARTHY,THURSDAY
4035182000002191140,"Sairam Enterprises , Skht COD",4035182000000000099,INR,0.00,5051.00,33424.00,0.00,0.00,38475.00,38475.00,NETHAJI,SRIKALAHASTHI,WEDNESDAY
4035182000004018419,"SALEEM AUTO MOBILES , SKHT , COD",4035182000000000099,INR,0.00,0.00,0.00,21068.00,0.00,21068.00,21068.00,NETHAJI,SRIKALAHASTHI,WEDNESDAY
4035182000000199467,"SALEEM ENTERPRISES , CHANDRAGIRI",4035182000000000099,INR,19009.00,2200.00,0.00,0.00,0.00,21209.00,21209.00,NETHAJI,CHANDRAGIRI,SATURDAY
4035182000000183951,"Sankaraiah Puncture Shop , (Skht), Suramala",4035182000000000099,INR,0.00,0.00,0.00,0.00,2000.00,2000.00,2000.00,NETHAJI,SRIKALAHASTHI,WEDNESDAY
4035182000000184034,"Santha Kumar JCB , Ctr",4035182000000000099,INR,0.00,0.00,0.00,0.00,34066.00,34066.00,34066.00,CHIRANJEEVI,CHITTOOR,TUESDAY
4035182000000184117,"Santhosh Automobiles, Nagari",4035182000000000099,INR,4844.00,18446.00,10844.00,0.00,0.00,34134.00,34134.00,NETHAJI,NAGARI,MONDAY
4035182000027105725,"SANVIKA AUTO MOBILE, TIRUPATI",4035182000000000099,INR,0.00,2000.00,11859.00,0.00,0.00,13859.00,13859.00,VINOD,TIRUPATI,MONDAY
4035182000000198356,SAPNA ENTERPRISES,4035182000000000099,INR,0.00,0.00,0.00,0.00,116112.00,116112.00,116112.00,SURESH SIR,HYDERABAD,MONDAY
4035182000000184205,SAR Cycle Shop Pakala,4035182000000000099,INR,0.00,0.00,0.00,0.00,1725.48,1725.48,1725.48,NETHAJI,PAKALA,TUESDAY
4035182000000196540,SAR Tyre shop Tpt,4035182000000000099,INR,0.00,0.00,0.00,0.00,3367.68,3367.68,3367.68,SHAHEEN,TIRUPATI,FRIDAY
4035182000022969141,"SARADHI SPARE PARTS , PUTTUR",4035182000000000099,INR,0.00,3897.00,0.00,0.00,0.00,3897.00,3897.00,NETHAJI,PUTTUR,MONDAY
4035182000000184376,Sarala Auto Mobiles Karveti Nagaram,4035182000000000099,INR,0.00,14410.00,0.00,41.00,321.00,14772.00,14772.00,VINOD,KARVETINAGARAM,MONDAY
4035182000000184459,Saraswathi Auto Mobiles Kalikiri,4035182000000000099,INR,0.00,16725.00,31896.00,0.00,7.18,48628.18,48628.18,NETHAJI,KALIKIRI,THURSDAY
4035182000000184630,Satish Dhawan Space Centre ( SDSC ),4035182000000000099,INR,0.00,0.00,0.00,0.00,98232.00,98232.00,98232.00,SUJAY,NELLORE,MONDAY
4035182000004018392,"SB AUTO MOBILES , SKHT COD",4035182000000000099,INR,0.00,0.00,0.00,0.00,19571.00,19571.00,19571.00,NETHAJI,SRIKALAHASTHI,WEDNESDAY
4035182000000238759,"SBS CYCLE STORE , BANAGARUPALEM",4035182000000000099,INR,0.00,0.00,0.00,0.00,131.00,131.00,131.00,CHIRANJEEVI,BANGARUPALEM,MONDAY
